"state","year","overall_food_insecurity_rate","number_of_food_insecure_persons_overall","food_insecurity_rate_among_black_persons_all_ethnicities","food_insecurity_rate_among_hispanic_persons_any_race","food_insecurity_rate_among_white_non_hispanic_persons","low_threshold_in_state","low_threshold_type","high_threshold_in_state","high_threshold_type","percent_fi_o_low_threshold","percent_fi_btwn_thresholds","percent_fi_high_threshold","percent_fi_low_threshold","child_food_insecurity_rate","number_of_food_insecure_children","percent_food_insecure_children_in_hh_w_hh_incomes_below_185_fpl","percent_food_insecure_children_in_hh_w_hh_incomes_above_185_fpl","cost_per_meal","weighted_weekly_needed_by_fi","weighted_annual_food_budget_shortfall","county"
" California",2020,"10.3%",10230,NA,"15%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.4%",NA,"36.6%","36.6%","11.3%","1,930","71%","29%","$4.96","$26.34","$8,174,000","Alameda County"
" California",2020,"9.4%",296470,"15%","14%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","66.8%",NA,"33.2%","33.2%","12.3%","85,990","70%","30%","$3.77","$20.02","$180,052,000","Alameda County"
" California",2020,"8.0%",31360,"10%","13%","3%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","50.5%",NA,"49.5%","49.5%","7.9%","6,860","53%","47%","$4.08","$21.66","$20,600,000","Alameda County"
" California",2020,"13.1%",2470,NA,"15%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","65.8%",NA,"34.2%","34.2%","15.7%","500","62%","39%","$3.80","$20.15","$1,510,000","Alameda County"
" California",2020,"9.7%",237110,"15%","15%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.6%",NA,"20.4%","20.4%","16.3%","99,900","72%","28%","$3.41","$18.09","$130,098,000","Alameda County"
" California",2020,"11.7%",179280,"20%","16%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.0%",NA,"28.0%","28.0%","17.3%","63,100","70%","30%","$3.57","$18.93","$102,961,000","Alameda County"
" California",2020,"8.3%",5100,"9%","14%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.2%",NA,"27.8%","27.8%","14.5%","2,300","71%","29%","$4.48","$23.77","$3,677,000","Alameda County"
" California",2020,"10.6%",228340,"21%","16%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.9%",NA,"19.1%","19.1%","18.3%","104,370","75%","25%","$3.34","$17.71","$122,692,000","Alameda County"
" California",2020,"10.1%",336190,"20%","15%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","68.1%",NA,"31.9%","31.9%","14.2%","102,300","67%","33%","$3.70","$19.62","$200,073,000","Alameda County"
" California",2020,"11.0%",95890,"23%","14%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.5%",NA,"45.5%","45.5%","9.1%","10,730","65%","35%","$4.92","$26.13","$76,010,000","Alameda County"
" California",2020,"12.1%",90820,"20%","16%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","77.3%",NA,"22.7%","22.7%","19.3%","39,270","71%","29%","$3.53","$18.72","$51,570,000","Alameda County"
" California",2020,"9.1%",25600,"13%","14%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","67.1%",NA,"32.9%","32.9%","11.4%","5,670","63%","37%","$3.90","$20.71","$16,082,000","Alameda County"
" California",2020,"7.1%",53990,"13%","13%","2%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","52.8%",NA,"47.2%","47.2%","5.8%","9,150","75%","25%","$4.26","$22.61","$37,033,000","Alameda County"
" California",2020,"9.2%",41140,"18%","15%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.8%",NA,"15.2%","15.2%","14.3%","14,170","80%","20%","$3.59","$19.05","$23,774,000","Alameda County"
" California",2020,"7.5%",144140,"15%","13%","3%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.2%",NA,"45.8%","45.8%","6.5%","27,400","72%","28%","$4.11","$21.80","$95,298,000","Alameda County"
" California",2020,"10.0%",27360,"13%","16%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","68.2%",NA,"31.8%","31.8%","13.6%","7,090","65%","35%","$4.51","$23.94","$19,869,000","Alameda County"
" California",2020,"13.8%",24670,"18%","18%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","73.0%",NA,"27.0%","27.0%","17.9%","6,910","67%","33%","$3.56","$18.90","$14,144,000","Alameda County"
" California",2020,"11.3%",330,NA,NA,"7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.2%",NA,"35.8%","35.8%","13.6%","60","51%","49%","$4.96","$26.34","$264,000","Alameda County"
" California",2020,"15.0%",6510,NA,"20%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.3%",NA,"17.7%","17.7%","19.9%","1,750","76%","24%","$3.51","$18.65","$3,684,000","Alameda County"
" California",2020,"9.4%",41840,"16%","13%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","59.7%",NA,"40.3%","40.3%","16.0%","15,810","56%","44%","$3.55","$18.82","$23,888,000","Alameda County"
" California",2020,"9.3%",46040,"16%","14%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","59.5%",NA,"40.5%","40.5%","12.1%","11,820","60%","40%","$4.30","$22.81","$31,858,000","Alameda County"
" California",2020,"11.8%",64320,"17%","16%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.4%",NA,"14.6%","14.6%","18.5%","27,340","77%","23%","$3.61","$19.16","$37,385,000","Alameda County"
" California",2020,"12.5%",12060,"11%","17%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","81.3%",NA,"18.7%","18.7%","18.3%","4,580","77%","23%","$3.27","$17.37","$6,356,000","Alameda County"
" California",2020,"14.5%",9310,NA,"20%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","81.9%",NA,"18.1%","18.1%","20.6%","3,160","77%","23%","$3.39","$18.01","$5,086,000","Alameda County"
" California",2020,"15.9%",2000,NA,"23%","12%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","78.0%",NA,"22.0%","22.0%","21.8%","470","80%","20%","$3.56","$18.90","$1,147,000","Alameda County"
" California",2020,"14.9%",69330,"20%","19%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","90.7%",NA,"9.3%","9.3%","24.1%","34,350","86%","14%","$3.36","$17.81","$37,453,000","Alameda County"
" California",2020,"13.0%",7050,NA,"16%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","57.0%",NA,"43.0%","43.0%","16.4%","1,470","47%","53%","$4.02","$21.36","$4,568,000","Alameda County"
" California",2020,"8.5%",72180,"14%","14%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","69.0%",NA,"31.0%","31.0%","12.8%","24,760","69%","31%","$3.73","$19.78","$43,297,000","Alameda County"
" California",2020,"10.6%",23210,"26%","17%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","78.2%",NA,"21.8%","21.8%","12.4%","5,710","68%","32%","$3.65","$19.38","$13,646,000","Alameda County"
" California",2020,"13.2%",10260,"12%","17%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.8%",NA,"23.2%","23.2%","18.3%","3,900","67%","33%","$3.21","$17.02","$5,298,000","Alameda County"
" California",2019,"8.4%",139810,"18%","12%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","56.8%",NA,"43.2%","43.2%","9.9%","34,040","56%","44%","$4.00","$22.54","$95,592,000","Alameda County"
" California",2019,"13.1%",140,NA,NA,"6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","74.0%",NA,"26.0%","26.0%","19.4%","40","87%","13%","$3.65","$20.56","$87,000","Alameda County"
" California",2019,"10.7%",4120,NA,"12%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","53.3%",NA,"46.7%","46.7%","16.1%","940","66%","35%","$4.15","$23.37","$2,920,000","Alameda County"
" California",2019,"14.4%",32450,"30%","17%","12%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","75.8%",NA,"24.2%","24.2%","18.7%","8,510","65%","35%","$3.25","$18.32","$18,034,000","Alameda County"
" California",2019,"11.8%",5360,NA,"14%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.6%",NA,"36.4%","36.4%","18.7%","1,460","65%","35%","$4.62","$26.01","$4,229,000","Alameda County"
" California",2019,"13.4%",2870,NA,"13%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","90.7%",NA,"9.3%","9.3%","21.9%","1,280","83%","17%","$3.37","$18.97","$1,652,000","Alameda County"
" California",2019,"7.6%",87180,"15%","13%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","60.5%",NA,"39.5%","39.5%","10.4%","27,230","56%","44%","$3.77","$21.27","$56,245,000","Alameda County"
" California",2019,"15.8%",4350,NA,"17%","12%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.5%",NA,"23.5%","23.5%","22.8%","1,350","79%","22%","$3.38","$19.05","$2,513,000","Alameda County"
" California",2019,"9.0%",16890,"10%","14%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","52.9%",NA,"47.1%","47.1%","11.5%","4,350","51%","50%","$4.41","$24.83","$12,719,000","Alameda County"
" California",2019,"14.7%",144790,"28%","19%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","89.4%",NA,"10.6%","10.6%","22.0%","61,680","77%","23%","$3.03","$17.06","$74,909,000","Alameda County"
" California",2019,"13.6%",3790,NA,"16%","11%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","92.9%",NA,"7.1%","7.1%","18.3%","1,370","77%","23%","$3.13","$17.65","$2,029,000","Alameda County"
" California",2019,"14.8%",20060,"31%","19%","12%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.1%",NA,"23.9%","23.9%","18.2%","4,760","76%","24%","$3.30","$18.60","$11,318,000","Alameda County"
" California",2019,"19.1%",34580,"27%","19%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","92.3%",NA,"7.7%","7.7%","31.0%","16,060","80%","20%","$2.75","$15.49","$16,251,000","Alameda County"
" California",2019,"10.0%",1800,NA,"14%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","68.5%",NA,"31.5%","31.5%","12.6%","450","70%","30%","$3.25","$18.31","$1,000,000","Alameda County"
" California",2019,"13.7%",121800,"26%","17%","11%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","92.3%",NA,"7.7%","7.7%","20.7%","53,350","81%","19%","$2.98","$16.81","$62,109,000","Alameda County"
" California",2019,"13.4%",20220,"19%","18%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.9%",NA,"14.1%","14.1%","20.1%","8,230","80%","20%","$3.01","$16.95","$10,398,000","Alameda County"
" California",2019,"15.0%",9640,"23%","18%","12%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","78.6%",NA,"21.4%","21.4%","20.9%","2,800","77%","23%","$3.98","$22.42","$6,557,000","Alameda County"
" California",2019,"12.3%",3790,"20%","17%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","47.2%",NA,"52.8%","52.8%","18.9%","870","63%","37%","$3.92","$22.09","$2,540,000","Alameda County"
" California",2019,"10.7%",1079900,"19%","15%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.0%",NA,"16.0%","16.0%","14.5%","321,690","74%","26%","$3.47","$19.56","$640,658,000","Alameda County"
" California",2019,"12.6%",19620,"21%","17%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","89.1%",NA,"10.9%","10.9%","19.9%","8,530","80%","20%","$3.81","$21.45","$12,764,000","Alameda County"
" California",2019,"7.4%",19210,"17%","14%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","49.8%",NA,"50.2%","50.2%","6.5%","3,440","74%","26%","$4.59","$25.89","$15,085,000","Alameda County"
" California",2019,"14.1%",2450,NA,"19%","11%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","74.3%",NA,"25.7%","25.7%","22.2%","630","68%","32%","$3.17","$17.86","$1,328,000","Alameda County"
" California",2019,"13.7%",11950,NA,"18%","11%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.9%",NA,"20.1%","20.1%","19.1%","3,580","82%","18%","$3.53","$19.90","$7,214,000","Alameda County"
" California",2019,"14.3%",38880,"26%","18%","12%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","96.5%",NA,"3.5%","3.5%","21.6%","17,350","85%","15%","$3.20","$18.01","$21,242,000","Alameda County"
" California",2019,"15.6%",1390,NA,"19%","11%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.7%",NA,"19.3%","19.3%","22.4%","390","89%","12%","$3.30","$18.61","$785,000","Alameda County"
" California",2019,"8.7%",1240,NA,"14%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.4%",NA,"27.6%","27.6%","11.5%","310","71%","29%","$3.19","$17.95","$675,000","Alameda County"
" California",2019,"10.1%",43610,"16%","14%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","92.9%",NA,"7.1%","7.1%","14.6%","16,650","89%","11%","$3.44","$19.39","$25,646,000","Alameda County"
" California",2019,"7.6%",10660,"12%","13%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","65.8%",NA,"34.2%","34.2%","9.0%","2,640","73%","27%","$4.30","$24.26","$7,845,000","Alameda County"
" California",2019,"10.4%",10310,NA,"16%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","61.6%",NA,"38.4%","38.4%","13.6%","2,330","71%","29%","$4.96","$27.96","$8,745,000","Alameda County"
" California",2019,"8.3%",264340,"13%","13%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","70.0%",NA,"30.0%","30.0%","10.1%","70,970","73%","27%","$3.51","$19.78","$158,634,000","Alameda County"
" California",2019,"8.1%",31230,"7%","13%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","49.1%",NA,"50.9%","50.9%","9.7%","8,360","47%","53%","$3.75","$21.16","$20,044,000","Alameda County"
" California",2019,"13.4%",2500,NA,"14%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","61.2%",NA,"38.8%","38.8%","17.2%","540","58%","42%","$3.43","$19.32","$1,465,000","Alameda County"
" California",2019,"9.0%",216050,"15%","15%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","88.0%",NA,"12.0%","12.0%","13.6%","83,430","71%","29%","$3.17","$17.85","$117,000,000","Alameda County"
" California",2019,"11.0%",168410,"21%","15%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","71.6%",NA,"28.4%","28.4%","15.7%","57,060","66%","34%","$3.28","$18.49","$94,463,000","Alameda County"
" California",2019,"7.0%",4220,NA,"12%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","89.9%",NA,"10.1%","10.1%","10.6%","1,660","81%","19%","$4.43","$24.96","$3,196,000","Alameda County"
" California",2019,"9.6%",206710,"19%","15%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","89.5%",NA,"10.5%","10.5%","14.9%","85,080","72%","28%","$3.12","$17.59","$110,278,000","Alameda County"
" California",2019,"9.2%",305100,"19%","14%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","71.8%",NA,"28.2%","28.2%","11.7%","84,370","70%","30%","$3.47","$19.53","$180,727,000","Alameda County"
" California",2019,"10.5%",92090,"24%","14%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","51.6%",NA,"48.4%","48.4%","8.7%","10,230","60%","40%","$4.84","$27.28","$76,192,000","Alameda County"
" California",2019,"11.5%",85740,"20%","16%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.0%",NA,"18.0%","18.0%","16.9%","34,190","71%","29%","$3.20","$18.03","$46,879,000","Alameda County"
" California",2019,"9.1%",25660,"18%","14%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","65.1%",NA,"34.9%","34.9%","10.7%","5,370","66%","34%","$3.62","$20.43","$15,901,000","Alameda County"
" California",2019,"6.6%",50810,"13%","12%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.5%",NA,"45.5%","45.5%","5.9%","9,370","73%","27%","$3.93","$22.17","$34,167,000","Alameda County"
" California",2019,"9.2%",41030,"20%","14%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","88.0%",NA,"12.0%","12.0%","11.7%","11,640","82%","19%","$3.41","$19.20","$23,899,000","Alameda County"
" California",2019,"7.3%",140120,"13%","12%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.6%",NA,"45.4%","45.4%","6.5%","28,060","66%","34%","$3.81","$21.47","$91,234,000","Alameda County"
" California",2019,"10.1%",27710,"15%","16%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.4%",NA,"27.6%","27.6%","12.6%","6,700","73%","27%","$4.10","$23.13","$19,442,000","Alameda County"
" California",2019,"14.5%",25910,"18%","19%","11%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","68.9%",NA,"31.1%","31.1%","20.4%","7,900","68%","32%","$3.18","$17.92","$14,084,000","Alameda County"
" California",2019,"11.6%",350,NA,NA,"7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","71.4%",NA,"28.6%","28.6%","17.5%","80","59%","41%","$3.55","$20.01","$212,000","Alameda County"
" California",2019,"16.2%",7020,NA,"20%","11%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.3%",NA,"23.7%","23.7%","22.5%","1,980","77%","24%","$3.27","$18.43","$3,925,000","Alameda County"
" California",2019,"8.5%",37600,"16%","12%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.7%",NA,"35.3%","35.3%","13.3%","13,100","59%","41%","$3.28","$18.48","$21,082,000","Alameda County"
" California",2019,"8.7%",43600,"15%","13%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.4%",NA,"36.6%","36.6%","10.3%","10,230","66%","34%","$4.00","$22.56","$29,835,000","Alameda County"
" California",2019,"11.8%",64300,"20%","16%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","89.0%",NA,"11.0%","11.0%","16.9%","24,970","79%","21%","$3.25","$18.33","$35,745,000","Alameda County"
" California",2019,"13.7%",13170,"6%","17%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","81.9%",NA,"18.1%","18.1%","19.7%","4,930","78%","22%","$2.92","$16.43","$6,564,000","Alameda County"
" California",2019,"15.9%",10170,"14%","20%","12%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","81.9%",NA,"18.1%","18.1%","23.6%","3,600","78%","22%","$3.24","$18.24","$5,626,000","Alameda County"
" California",2019,"15.9%",2020,NA,"18%","14%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","74.3%",NA,"25.7%","25.7%","24.2%","520","69%","31%","$3.29","$18.51","$1,134,000","Alameda County"
" California",2019,"15.6%",71990,"21%","19%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","99.1%",NA,"0.9%","0.9%","23.0%","32,950","86%","14%","$3.04","$17.15","$37,455,000","Alameda County"
" California",2019,"12.7%",6860,NA,"17%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","57.3%",NA,"42.7%","42.7%","16.8%","1,510","52%","48%","$3.99","$22.51","$4,684,000","Alameda County"
" California",2019,"7.8%",65680,"9%","13%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","75.0%",NA,"25.0%","25.0%","10.4%","20,380","72%","28%","$3.45","$19.43","$38,705,000","Alameda County"
" California",2019,"10.7%",23330,"24%","16%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.6%",NA,"20.4%","20.4%","12.7%","5,830","67%","33%","$3.46","$19.52","$13,816,000","Alameda County"
" California",2019,"13.2%",10090,"9%","15%","11%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","73.9%",NA,"26.1%","26.1%","18.2%","3,850","70%","30%","$3.05","$17.17","$5,254,000","Alameda County"
