"","Households","    With one or more people in the household 60 years and over","    No people in the household 60 years and over","    HOUSEHOLD TYPE","    Married-couple family","    Other family:","        Male householder, no spouse present","        Female householder, no spouse present","    Nonfamily households","    With children under 18 years","        Married-couple family","        Other family:","            Male householder, no spouse present","            Female householder, no spouse present","        Nonfamily households","    No children under 18 years","        Married-couple family","        Other family:","            Male householder, no spouse present","            Female householder, no spouse present","        Nonfamily households","    POVERTY STATUS IN THE PAST 12 MONTHS","        Below poverty level","        At or above  poverty level","    DISABILITY STATUS","        With one or more people with a disability","        With no persons with a disability","    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","        White alone","        Black or African American alone","        American Indian and Alaska Native alone","        Asian alone","        Native Hawaiian and Other Pacific Islander alone","        Some other race alone","        Two or more races","        Hispanic or Latino origin (of any race)","        White alone, not Hispanic or Latino","    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","        Median income (dollars)","WORK STATUS","    Families","        No workers in past 12 months","        1 worker in past 12 months","        2 or more workers in past 12 months"
"Alameda County, California!!Total!!Estimate","589,180","230,114","359,066","","289,778","93,977","28,792","65,185","205,425","184,014","135,991","46,046","13,888","32,158","1,977","405,166","153,787","47,931","14,904","33,027","203,448","","58,502","530,678","","121,868","467,312","","218,415","68,172","5,358","182,328","3,447","58,590","52,870","99,043","206,795","","109,729","","383,755","42,136","119,281","222,338"
"Alameda County, California!!Households receiving food stamps/SNAP!!Estimate","58,508","26,096","32,412","","17,617","20,574","4,330","16,244","20,317","23,943","10,574","12,946","2,372","10,574","423","34,565","7,043","7,628","1,958","5,670","19,894","","19,504","39,004","","23,743","34,765","","11,867","13,665","857","15,946","434","8,818","6,921","14,347","10,773","","39,630","","38,191","7,089","14,641","16,461"
"Alameda County, California!!Households not receiving food stamps/SNAP!!Estimate","530,672","204,018","326,654","","272,161","73,403","24,462","48,941","185,108","160,071","125,417","33,100","11,516","21,584","1,554","370,601","146,744","40,303","12,946","27,357","183,554","","38,998","491,674","","98,125","432,547","","206,548","54,507","4,501","166,382","3,013","49,772","45,949","84,696","196,022","","119,787","","345,564","35,047","104,640","205,877"
"Butte County, California!!Total!!Estimate","81,353","33,129","48,224","","33,495","15,516","5,359","10,157","32,342","22,085","12,633","9,170","2,705","6,465","282","59,268","20,862","6,346","2,654","3,692","32,060","","12,412","68,941","","24,851","56,502","","63,319","1,306","992","2,851","N","3,916","8,799","11,389","61,135","","64,738","","49,011","10,751","16,248","22,012"
"Butte County, California!!Households receiving food stamps/SNAP!!Estimate","10,370","4,183","6,187","","2,046","4,403","1,319","3,084","3,921","4,748","1,469","3,228","870","2,358","51","5,622","577","1,175","449","726","3,870","","4,185","6,185","","4,937","5,433","","7,062","305","241","416","N","416","1,930","2,091","6,566","","30,661","","6,449","1,734","3,100","1,615"
"Butte County, California!!Households not receiving food stamps/SNAP!!Estimate","70,983","28,946","42,037","","31,449","11,113","4,040","7,073","28,421","17,337","11,164","5,942","1,835","4,107","231","53,646","20,285","5,171","2,205","2,966","28,190","","8,227","62,756","","19,914","51,069","","56,257","1,001","751","2,435","N","3,500","6,869","9,298","54,569","","71,693","","42,562","9,017","13,148","20,397"
"Contra Costa County, California!!Total!!Estimate","411,560","181,244","230,316","","226,289","72,097","20,097","52,000","113,174","143,828","103,267","39,669","10,403","29,266","892","267,732","123,022","32,428","9,694","22,734","112,282","","37,404","374,156","","105,258","306,302","","208,843","37,579","4,285","70,139","1,728","42,154","46,832","85,995","197,011","","111,080","","298,386","38,479","92,337","167,570"
"Contra Costa County, California!!Households receiving food stamps/SNAP!!Estimate","38,924","14,524","24,400","","13,066","16,785","2,860","13,925","9,073","20,972","9,487","11,176","1,123","10,053","309","17,952","3,579","5,609","1,737","3,872","8,764","","12,938","25,986","","19,945","18,979","","9,842","9,355","360","4,882","114","8,214","6,157","12,974","8,954","","43,650","","29,851","4,278","13,292","12,281"
"Contra Costa County, California!!Households not receiving food stamps/SNAP!!Estimate","372,636","166,720","205,916","","213,223","55,312","17,237","38,075","104,101","122,856","93,780","28,493","9,280","19,213","583","249,780","119,443","26,819","7,957","18,862","103,518","","24,466","348,170","","85,313","287,323","","199,001","28,224","3,925","65,257","1,614","33,940","40,675","73,021","188,057","","119,926","","268,535","34,201","79,045","155,289"
"El Dorado County, California!!Total!!Estimate","74,909","37,576","37,333","","41,585","10,754","3,065","7,689","22,570","21,199","14,610","6,214","1,638","4,576","375","53,710","26,975","4,540","1,427","3,113","22,195","","7,187","67,722","","17,943","56,966","","62,676","N","N","N","N","2,107","5,868","8,553","60,257","","87,491","","52,339","9,898","18,012","24,429"
"El Dorado County, California!!Households receiving food stamps/SNAP!!Estimate","4,581","1,768","2,813","","1,052","2,330","121","2,209","1,199","2,361","461","1,900","121","1,779","0","2,220","591","430","0","430","1,199","","1,563","3,018","","1,619","2,962","","3,551","N","N","N","N","58","790","992","2,894","","32,977","","3,382","158","2,485","739"
"El Dorado County, California!!Households not receiving food stamps/SNAP!!Estimate","70,328","35,808","34,520","","40,533","8,424","2,944","5,480","21,371","18,838","14,149","4,314","1,517","2,797","375","51,490","26,384","4,110","1,427","2,683","20,996","","5,624","64,704","","16,324","54,004","","59,125","N","N","N","N","2,049","5,078","7,561","57,363","","93,265","","48,957","9,740","15,527","23,690"
"Fresno County, California!!Total!!Estimate","322,646","122,729","199,917","","149,789","81,542","27,652","53,890","91,315","127,827","74,180","52,894","16,537","36,357","753","194,819","75,609","28,648","11,115","17,533","90,562","","58,617","264,029","","94,069","228,577","","135,750","16,195","3,733","30,211","N","58,683","77,771","148,856","116,562","","63,656","","231,331","33,772","82,765","114,794"
"Fresno County, California!!Households receiving food stamps/SNAP!!Estimate","66,949","20,405","46,544","","18,989","34,650","8,604","26,046","13,310","40,229","13,695","26,431","6,090","20,341","103","26,720","5,294","8,219","2,514","5,705","13,207","","28,507","38,442","","28,372","38,577","","16,909","5,585","634","6,693","N","14,849","22,144","41,601","11,559","","33,843","","53,639","10,356","24,856","18,427"
"Fresno County, California!!Households not receiving food stamps/SNAP!!Estimate","255,697","102,324","153,373","","130,800","46,892","19,048","27,844","78,005","87,598","60,485","26,463","10,447","16,016","650","168,099","70,315","20,429","8,601","11,828","77,355","","30,110","225,587","","65,697","190,000","","118,841","10,610","3,099","23,518","N","43,834","55,627","107,255","105,003","","72,848","","177,692","23,416","57,909","96,367"
"Humboldt County, California!!Total!!Estimate","55,184","22,611","32,573","","21,127","7,586","2,646","4,940","26,471","12,960","8,284","4,502","1,594","2,908","174","42,224","12,843","3,084","1,052","2,032","26,297","","9,750","45,434","","17,621","37,563","","41,989","N","2,710","1,036","N","2,491","6,043","5,427","41,376","","54,752","","28,713","6,314","10,718","11,681"
"Humboldt County, California!!Households receiving food stamps/SNAP!!Estimate","9,951","3,232","6,719","","2,343","1,810","458","1,352","5,798","2,559","1,364","1,195","184","1,011","0","7,392","979","615","274","341","5,798","","3,927","6,024","","3,925","6,026","","6,319","N","911","346","N","813","1,429","840","6,319","","26,679","","4,153","975","1,554","1,624"
"Humboldt County, California!!Households not receiving food stamps/SNAP!!Estimate","45,233","19,379","25,854","","18,784","5,776","2,188","3,588","20,673","10,401","6,920","3,307","1,410","1,897","174","34,832","11,864","2,469","778","1,691","20,499","","5,823","39,410","","13,696","31,537","","35,670","N","1,799","690","N","1,678","4,614","4,587","35,057","","62,710","","24,560","5,339","9,164","10,057"
"Imperial County, California!!Total!!Estimate","47,849","22,713","25,136","","23,200","13,657","3,768","9,889","10,992","18,741","10,697","7,856","1,489","6,367","188","29,108","12,503","5,801","2,279","3,522","10,804","","8,579","39,270","","19,166","28,683","","11,258","1,547","743","754","N","23,097","10,422","37,597","7,394","","51,809","","36,857","6,303","14,159","16,395"
"Imperial County, California!!Households receiving food stamps/SNAP!!Estimate","12,401","5,723","6,678","","4,589","5,386","914","4,472","2,426","7,546","3,167","4,191","696","3,495","188","4,855","1,422","1,195","218","977","2,238","","4,035","8,366","","5,850","6,551","","2,241","685","218","222","N","6,262","2,773","10,213","1,339","","38,193","","9,975","2,380","4,221","3,374"
"Imperial County, California!!Households not receiving food stamps/SNAP!!Estimate","35,448","16,990","18,458","","18,611","8,271","2,854","5,417","8,566","11,195","7,530","3,665","793","2,872","0","24,253","11,081","4,606","2,061","2,545","8,566","","4,544","30,904","","13,316","22,132","","9,017","862","525","532","N","16,835","7,649","27,384","6,055","","61,001","","26,882","3,923","9,938","13,021"
"Kern County, California!!Total!!Estimate","282,963","106,593","176,370","","137,887","69,455","22,762","46,693","75,621","116,888","70,388","45,826","14,120","31,706","674","166,075","67,499","23,629","8,642","14,987","74,947","","49,710","233,253","","71,958","211,005","","147,157","16,054","4,127","13,689","486","40,901","60,549","129,846","113,792","","58,217","","207,342","33,551","78,383","95,408"
"Kern County, California!!Households receiving food stamps/SNAP!!Estimate","52,339","15,770","36,569","","16,952","24,295","6,520","17,775","11,092","30,660","11,546","18,747","5,088","13,659","367","21,679","5,406","5,548","1,432","4,116","10,725","","22,252","30,087","","19,364","32,975","","21,256","6,582","1,261","1,308","117","10,935","10,880","26,546","15,584","","29,328","","41,247","11,119","19,830","10,298"
"Kern County, California!!Households not receiving food stamps/SNAP!!Estimate","230,624","90,823","139,801","","120,935","45,160","16,242","28,918","64,529","86,228","58,842","27,079","9,032","18,047","307","144,396","62,093","18,081","7,210","10,871","64,222","","27,458","203,166","","52,594","178,030","","125,901","9,472","2,866","12,381","369","29,966","49,669","103,300","98,208","","68,155","","166,095","22,432","58,553","85,110"
"Kings County, California!!Total!!Estimate","43,143","14,967","28,176","","21,794","12,703","2,832","9,871","8,646","20,561","12,243","8,190","1,604","6,586","128","22,582","9,551","4,513","1,228","3,285","8,518","","6,981","36,162","","13,108","30,035","","19,792","2,007","860","1,766","N","10,517","8,127","21,713","16,588","","62,155","","34,497","5,162","13,421","15,914"
"Kings County, California!!Households receiving food stamps/SNAP!!Estimate","7,826","2,523","5,303","","2,345","4,364","530","3,834","1,117","4,931","1,509","3,422","371","3,051","0","2,895","836","942","159","783","1,117","","3,040","4,786","","3,537","4,289","","2,169","492","95","505","N","2,411","2,137","5,112","1,489","","37,908","","6,709","1,349","3,254","2,106"
"Kings County, California!!Households not receiving food stamps/SNAP!!Estimate","35,317","12,444","22,873","","19,449","8,339","2,302","6,037","7,529","15,630","10,734","4,768","1,233","3,535","128","19,687","8,715","3,571","1,069","2,502","7,401","","3,941","31,376","","9,571","25,746","","17,623","1,515","765","1,261","N","8,106","5,990","16,601","15,099","","67,063","","27,788","3,813","10,167","13,808"
"Lake County, California!!Total!!Estimate","27,472","14,696","12,776","","12,259","5,338","1,716","3,622","9,875","6,585","4,240","2,267","699","1,568","78","20,887","8,019","3,071","1,017","2,054","9,797","","3,830","23,642","","10,668","16,804","","20,647","N","N","N","N","2,477","3,360","4,609","19,694","","61,221","","N","N","N","N"
"Lake County, California!!Households receiving food stamps/SNAP!!Estimate","4,476","2,649","1,827","","573","1,780","661","1,119","2,123","1,324","321","1,003","513","490","0","3,152","252","777","148","629","2,123","","1,385","3,091","","2,899","1,577","","3,435","N","N","N","N","302","610","727","3,383","","31,473","","N","N","N","N"
"Lake County, California!!Households not receiving food stamps/SNAP!!Estimate","22,996","12,047","10,949","","11,686","3,558","1,055","2,503","7,752","5,261","3,919","1,264","186","1,078","78","17,735","7,767","2,294","869","1,425","7,674","","2,445","20,551","","7,769","15,227","","17,212","N","N","N","N","2,175","2,750","3,882","16,311","","68,488","","N","N","N","N"
"Los Angeles County, California!!Total!!Estimate","3,375,587","1,365,287","2,010,300","","1,465,759","751,890","253,737","498,153","1,157,938","1,035,491","650,602","375,475","116,704","258,771","9,414","2,340,096","815,157","376,415","137,033","239,382","1,148,524","","494,777","2,880,810","","808,481","2,567,106","","1,247,262","307,097","47,661","518,087","7,369","682,789","565,322","1,321,294","1,103,193","","77,456","","2,217,649","274,819","720,050","1,222,780"
"Los Angeles County, California!!Households receiving food stamps/SNAP!!Estimate","472,867","208,999","263,868","","140,182","193,828","49,894","143,934","138,857","216,185","87,024","126,812","28,164","98,648","2,349","256,682","53,158","67,016","21,730","45,286","136,508","","175,153","297,714","","208,697","264,170","","113,981","78,174","9,270","54,063","1,432","127,318","88,629","232,237","92,087","","34,449","","334,010","65,053","135,862","133,095"
"Los Angeles County, California!!Households not receiving food stamps/SNAP!!Estimate","2,902,720","1,156,288","1,746,432","","1,325,577","558,062","203,843","354,219","1,019,081","819,306","563,578","248,663","88,540","160,123","7,065","2,083,414","761,999","309,399","115,303","194,096","1,012,016","","319,624","2,583,096","","599,784","2,302,936","","1,133,281","228,923","38,391","464,024","5,937","555,471","476,693","1,089,057","1,011,106","","84,740","","1,883,639","209,766","584,188","1,089,685"
"Madera County, California!!Total!!Estimate","44,048","21,384","22,664","","21,209","11,704","3,811","7,893","11,135","16,225","9,307","6,918","2,089","4,829","0","27,823","11,902","4,786","1,722","3,064","11,135","","9,987","34,061","","17,154","26,894","","21,486","N","760","908","N","11,473","7,873","20,552","19,092","","63,454","","32,913","5,964","10,583","16,366"
"Madera County, California!!Households receiving food stamps/SNAP!!Estimate","8,772","3,640","5,132","","2,308","4,415","1,134","3,281","2,049","5,370","1,719","3,651","902","2,749","0","3,402","589","764","232","532","2,049","","4,663","4,109","","4,527","4,245","","3,008","N","163","73","N","3,090","1,844","5,282","2,692","","29,043","","6,723","1,685","2,340","2,698"
"Madera County, California!!Households not receiving food stamps/SNAP!!Estimate","35,276","17,744","17,532","","18,901","7,289","2,677","4,612","9,086","10,855","7,588","3,267","1,187","2,080","0","24,421","11,313","4,022","1,490","2,532","9,086","","5,324","29,952","","12,627","22,649","","18,478","N","597","835","N","8,383","6,029","15,270","16,400","","70,864","","26,190","4,279","8,243","13,668"
"Marin County, California!!Total!!Estimate","103,378","53,727","49,651","","51,034","12,894","4,220","8,674","39,450","26,579","19,670","6,726","2,290","4,436","183","76,799","31,364","6,168","1,930","4,238","39,267","","8,695","94,683","","22,044","81,334","","82,207","2,120","N","5,582","N","5,589","7,573","10,765","80,125","","118,209","","63,928","9,123","21,083","33,722"
"Marin County, California!!Households receiving food stamps/SNAP!!Estimate","5,563","2,331","3,232","","1,022","1,806","105","1,701","2,735","2,068","799","1,157","0","1,157","112","3,495","223","649","105","544","2,623","","2,829","2,734","","2,516","3,047","","3,244","721","N","188","N","821","558","1,439","3,076","","36,886","","2,828","791","674","1,363"
"Marin County, California!!Households not receiving food stamps/SNAP!!Estimate","97,815","51,396","46,419","","50,012","11,088","4,115","6,973","36,715","24,511","18,871","5,569","2,290","3,279","71","73,304","31,141","5,519","1,825","3,694","36,644","","5,866","91,949","","19,528","78,287","","78,963","1,399","N","5,394","N","4,768","7,015","9,326","77,049","","126,941","","61,100","8,332","20,409","32,359"
"Mendocino County, California!!Total!!Estimate","34,273","18,817","15,456","","13,028","7,204","2,708","4,496","14,041","8,857","4,477","4,380","1,715","2,665","0","25,416","8,551","2,824","993","1,831","14,041","","5,325","28,948","","12,113","22,160","","25,548","N","1,244","N","N","2,403","4,047","5,925","25,032","","59,444","","N","N","N","N"
"Mendocino County, California!!Households receiving food stamps/SNAP!!Estimate","5,426","2,351","3,075","","732","2,426","847","1,579","2,268","2,331","481","1,850","697","1,153","0","3,095","251","576","150","426","2,268","","2,058","3,368","","2,933","2,493","","3,311","N","574","N","N","522","1,019","1,389","3,311","","30,276","","N","N","N","N"
"Mendocino County, California!!Households not receiving food stamps/SNAP!!Estimate","28,847","16,466","12,381","","12,296","4,778","1,861","2,917","11,773","6,526","3,996","2,530","1,018","1,512","0","22,321","8,300","2,248","843","1,405","11,773","","3,267","25,580","","9,180","19,667","","22,237","N","670","N","N","1,881","3,028","4,536","21,721","","68,400","","N","N","N","N"
"Merced County, California!!Total!!Estimate","84,967","31,958","53,009","","40,530","23,839","6,347","17,492","20,598","38,361","22,370","15,674","4,375","11,299","317","46,606","18,160","8,165","1,972","6,193","20,281","","20,257","64,710","","28,273","56,694","","32,694","3,232","1,617","5,440","N","32,625","9,266","45,214","28,192","","53,992","","64,369","12,220","23,733","28,416"
"Merced County, California!!Households receiving food stamps/SNAP!!Estimate","18,862","7,107","11,755","","5,571","9,316","1,617","7,699","3,975","10,726","4,014","6,560","1,038","5,522","152","8,136","1,557","2,756","579","2,177","3,823","","9,737","9,125","","7,915","10,947","","5,219","1,035","447","1,626","N","8,915","1,620","11,341","4,333","","26,658","","14,887","4,173","5,874","4,840"
"Merced County, California!!Households not receiving food stamps/SNAP!!Estimate","66,105","24,851","41,254","","34,959","14,523","4,730","9,793","16,623","27,635","18,356","9,114","3,337","5,777","165","38,470","16,603","5,409","1,393","4,016","16,458","","10,520","55,585","","20,358","45,747","","27,475","2,197","1,170","3,814","N","23,710","7,646","33,873","23,859","","61,482","","49,482","8,047","17,859","23,576"
"Monterey County, California!!Total!!Estimate","133,224","58,298","74,926","","66,178","29,664","9,920","19,744","37,382","50,862","32,477","18,192","5,920","12,272","193","82,362","33,701","11,472","4,000","7,472","37,189","","14,985","118,239","","29,301","103,923","","60,180","2,360","1,264","9,119","N","44,355","15,623","63,126","54,575","","82,163","","95,842","13,280","28,194","54,368"
"Monterey County, California!!Households receiving food stamps/SNAP!!Estimate","11,231","4,584","6,647","","2,953","5,205","929","4,276","3,073","5,775","2,134","3,641","848","2,793","0","5,456","819","1,564","81","1,483","3,073","","3,414","7,817","","4,895","6,336","","3,654","432","203","756","N","4,226","1,914","7,228","2,986","","41,166","","8,158","1,032","2,893","4,233"
"Monterey County, California!!Households not receiving food stamps/SNAP!!Estimate","121,993","53,714","68,279","","63,225","24,459","8,991","15,468","34,309","45,087","30,343","14,551","5,072","9,479","193","76,906","32,882","9,908","3,919","5,989","34,116","","11,571","110,422","","24,406","97,587","","56,526","1,928","1,061","8,363","N","40,129","13,709","55,898","51,589","","85,482","","87,684","12,248","25,301","50,135"
"Napa County, California!!Total!!Estimate","49,979","23,792","26,187","","26,129","7,822","3,656","4,166","16,028","14,754","10,374","4,380","2,267","2,113","0","35,225","15,755","3,442","1,389","2,053","16,028","","5,044","44,935","","13,380","36,599","","34,475","501","608","3,530","N","4,362","6,400","12,202","31,992","","97,213","","33,951","5,149","10,367","18,435"
"Napa County, California!!Households receiving food stamps/SNAP!!Estimate","2,723","1,232","1,491","","1,096","538","35","503","1,089","946","687","259","0","259","0","1,777","409","279","35","244","1,089","","977","1,746","","1,355","1,368","","1,510","88","279","230","N","230","386","847","1,442","","32,617","","1,634","260","777","597"
"Napa County, California!!Households not receiving food stamps/SNAP!!Estimate","47,256","22,560","24,696","","25,033","7,284","3,621","3,663","14,939","13,808","9,687","4,121","2,267","1,854","0","33,448","15,346","3,163","1,354","1,809","14,939","","4,067","43,189","","12,025","35,231","","32,965","413","329","3,300","N","4,132","6,014","11,355","30,550","","101,747","","32,317","4,889","9,590","17,838"
"Nevada County, California!!Total!!Estimate","42,679","24,857","17,822","","21,896","3,977","1,001","2,976","16,806","10,113","7,287","2,217","452","1,765","609","32,566","14,609","1,760","549","1,211","16,197","","6,791","35,888","","10,072","32,607","","36,897","N","N","N","N","N","3,863","3,130","36,065","","79,519","","N","N","N","N"
"Nevada County, California!!Households receiving food stamps/SNAP!!Estimate","2,161","1,358","803","","536","487","134","353","1,138","610","359","251","134","117","0","1,551","177","236","0","236","1,138","","1,351","810","","1,127","1,034","","1,544","N","N","N","N","N","526","134","1,410","","30,725","","N","N","N","N"
"Nevada County, California!!Households not receiving food stamps/SNAP!!Estimate","40,518","23,499","17,019","","21,360","3,490","867","2,623","15,668","9,503","6,928","1,966","318","1,648","609","31,015","14,432","1,524","549","975","15,059","","5,440","35,078","","8,945","31,573","","35,353","N","N","N","N","N","3,337","2,996","34,655","","84,482","","N","N","N","N"
"Orange County, California!!Total!!Estimate","1,077,193","456,399","620,794","","576,804","186,156","60,085","126,071","314,233","346,337","250,497","92,556","27,617","64,939","3,284","730,856","326,307","93,600","32,468","61,132","310,949","","109,219","967,974","","218,678","858,515","","561,506","19,271","8,171","228,557","3,674","118,524","137,490","271,489","518,937","","100,559","","762,960","95,965","224,621","442,374"
"Orange County, California!!Households receiving food stamps/SNAP!!Estimate","84,963","37,790","47,173","","31,259","31,887","8,138","23,749","21,817","41,998","20,884","20,958","4,974","15,984","156","42,965","10,375","10,929","3,164","7,765","21,661","","25,586","59,377","","33,180","51,783","","26,785","2,337","1,238","22,194","294","15,541","16,574","35,009","22,566","","47,359","","63,146","9,449","23,120","30,577"
"Orange County, California!!Households not receiving food stamps/SNAP!!Estimate","992,230","418,609","573,621","","545,545","154,269","51,947","102,322","292,416","304,339","229,613","71,598","22,643","48,955","3,128","687,891","315,932","82,671","29,304","53,367","289,288","","83,633","908,597","","185,498","806,732","","534,721","16,934","6,933","206,363","3,380","102,983","120,916","236,480","496,371","","104,389","","699,814","86,516","201,501","411,797"
"Placer County, California!!Total!!Estimate","155,945","70,956","84,989","","91,753","19,972","6,693","13,279","44,220","50,347","38,838","10,973","3,719","7,254","536","105,598","52,915","8,999","2,974","6,025","43,684","","10,362","145,583","","37,077","118,868","","118,948","2,175","N","11,758","N","7,606","14,562","18,922","114,873","","103,659","","111,725","21,267","34,998","55,460"
"Placer County, California!!Households receiving food stamps/SNAP!!Estimate","9,195","3,320","5,875","","4,200","2,714","520","2,194","2,281","4,765","3,169","1,596","318","1,278","0","4,430","1,031","1,118","202","916","2,281","","2,612","6,583","","4,424","4,771","","6,213","81","N","559","N","1,298","981","1,984","6,138","","51,928","","6,914","1,078","3,386","2,450"
"Placer County, California!!Households not receiving food stamps/SNAP!!Estimate","146,750","67,636","79,114","","87,553","17,258","6,173","11,085","41,939","45,582","35,669","9,377","3,401","5,976","536","101,168","51,884","7,881","2,772","5,109","41,403","","7,750","139,000","","32,653","114,097","","112,735","2,094","N","11,199","N","6,308","13,581","16,938","108,735","","107,297","","104,811","20,189","31,612","53,010"
"Riverside County, California!!Total!!Estimate","765,673","339,933","425,740","","414,272","160,169","50,656","109,513","191,232","284,034","191,337","91,077","27,510","63,567","1,620","481,639","222,935","69,092","23,146","45,946","189,612","","86,057","679,616","","211,988","553,685","","354,463","50,994","8,186","48,918","3,397","171,669","128,046","315,389","321,648","","79,024","","574,441","89,441","189,981","295,019"
