"","Households","    With one or more people in the household 60 years and over","    No people in the household 60 years and over","    HOUSEHOLD TYPE","    Married-couple family","    Other family:","        Male householder, no spouse present","        Female householder, no spouse present","    Nonfamily households","    With children under 18 years","        Married-couple family","        Other family:","            Male householder, no spouse present","            Female householder, no spouse present","        Nonfamily households","    No children under 18 years","        Married-couple family","        Other family:","            Male householder, no spouse present","            Female householder, no spouse present","        Nonfamily households","    POVERTY STATUS IN THE PAST 12 MONTHS","        Below poverty level","        At or above  poverty level","    DISABILITY STATUS","        With one or more people with a disability","        With no persons with a disability","    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","        White alone","        Black or African American alone","        American Indian and Alaska Native alone","        Asian alone","        Native Hawaiian and Other Pacific Islander alone","        Some other race alone","        Two or more races","        Hispanic or Latino origin (of any race)","        White alone, not Hispanic or Latino","    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","        Median income (dollars)","WORK STATUS","    Families","        No workers in past 12 months","        1 worker in past 12 months","        2 or more workers in past 12 months"
"Riverside County, California!!Households receiving food stamps/SNAP!!Estimate","90,102","36,745","53,357","","34,378","36,170","6,817","29,353","19,554","51,729","25,036","26,267","4,830","21,437","426","38,373","9,342","9,903","1,987","7,916","19,128","","27,193","62,909","","38,365","51,737","","29,908","9,103","1,035","4,589","1,124","23,429","20,914","48,032","24,825","","41,748","","70,548","13,372","29,797","27,379"
"Riverside County, California!!Households not receiving food stamps/SNAP!!Estimate","675,571","303,188","372,383","","379,894","123,999","43,839","80,160","171,678","232,305","166,301","64,810","22,680","42,130","1,194","443,266","213,593","59,189","21,159","38,030","170,484","","58,864","616,707","","173,623","501,948","","324,555","41,891","7,151","44,329","2,273","148,240","107,132","267,357","296,823","","83,831","","503,893","76,069","160,184","267,640"
"Sacramento County, California!!Total!!Estimate","571,949","227,892","344,057","","263,975","107,567","36,765","70,802","200,407","180,474","120,419","58,256","18,843","39,413","1,799","391,475","143,556","49,311","17,922","31,389","198,608","","72,740","499,209","","153,932","418,017","","305,091","56,768","5,246","83,451","4,763","52,446","64,184","109,076","287,534","","80,063","","371,542","53,756","119,430","198,356"
"Sacramento County, California!!Households receiving food stamps/SNAP!!Estimate","78,897","30,935","47,962","","26,661","29,682","8,961","20,721","22,554","39,697","19,183","19,839","4,874","14,965","675","39,200","7,478","9,843","4,087","5,756","21,879","","29,536","49,361","","36,816","42,081","","29,637","13,880","627","13,647","643","10,120","10,343","17,279","27,873","","36,527","","56,343","11,179","22,959","22,205"
"Sacramento County, California!!Households not receiving food stamps/SNAP!!Estimate","493,052","196,957","296,095","","237,314","77,885","27,804","50,081","177,853","140,777","101,236","38,417","13,969","24,448","1,124","352,275","136,078","39,468","13,835","25,633","176,729","","43,204","449,848","","117,116","375,936","","275,454","42,888","4,619","69,804","4,120","42,326","53,841","91,797","259,661","","87,952","","315,199","42,577","96,471","176,151"
"San Benito County, California!!Total!!Estimate","20,307","8,429","11,878","","12,047","3,562","1,525","2,037","4,698","8,339","5,840","2,489","955","1,534","10","11,968","6,207","1,073","570","503","4,688","","1,617","18,690","","6,176","14,131","","9,879","N","N","N","N","3,589","5,776","10,588","8,686","","101,923","","N","N","N","N"
"San Benito County, California!!Households receiving food stamps/SNAP!!Estimate","1,936","588","1,348","","843","935","373","562","158","1,362","655","707","220","487","0","574","188","228","153","75","158","","372","1,564","","738","1,198","","745","N","N","N","N","703","366","1,296","480","","72,442","","N","N","N","N"
"San Benito County, California!!Households not receiving food stamps/SNAP!!Estimate","18,371","7,841","10,530","","11,204","2,627","1,152","1,475","4,540","6,977","5,185","1,782","735","1,047","10","11,394","6,019","845","417","428","4,530","","1,245","17,126","","5,438","12,933","","9,134","N","N","N","N","2,886","5,410","9,292","8,206","","106,891","","N","N","N","N"
"San Bernardino County, California!!Total!!Estimate","675,929","264,082","411,847","","341,236","168,783","57,293","111,490","165,910","266,482","165,408","99,760","32,181","67,579","1,314","409,447","175,828","69,023","25,112","43,911","164,596","","91,461","584,468","","188,877","487,052","","271,673","57,392","11,279","56,981","3,032","157,109","118,463","313,839","225,788","","74,846","","510,019","69,507","176,866","263,646"
"San Bernardino County, California!!Households receiving food stamps/SNAP!!Estimate","99,346","40,443","58,903","","34,418","46,482","12,127","34,355","18,446","58,061","24,680","33,335","7,168","26,167","46","41,285","9,738","13,147","4,959","8,188","18,400","","31,925","67,421","","44,701","54,645","","31,718","15,850","2,375","4,403","287","23,978","20,735","51,682","24,067","","41,207","","80,900","15,737","35,371","29,792"
"San Bernardino County, California!!Households not receiving food stamps/SNAP!!Estimate","576,583","223,639","352,944","","306,818","122,301","45,166","77,135","147,464","208,421","140,728","66,425","25,013","41,412","1,268","368,162","166,090","55,876","20,153","35,723","146,196","","59,536","517,047","","144,176","432,407","","239,955","41,542","8,904","52,578","2,745","133,131","97,728","262,157","201,721","","81,300","","429,119","53,770","141,495","233,854"
"San Diego County, California!!Total!!Estimate","1,162,896","453,929","708,967","","567,165","196,018","62,122","133,896","399,713","356,558","248,285","105,888","30,314","75,574","2,385","806,338","318,880","90,130","31,808","58,322","397,328","","121,149","1,041,747","","262,139","900,757","","664,070","58,058","12,194","130,324","3,504","98,340","196,406","304,637","612,211","","91,003","","763,183","105,881","246,884","410,418"
"San Diego County, California!!Households receiving food stamps/SNAP!!Estimate","117,297","47,088","70,209","","37,038","46,828","10,173","36,655","33,431","57,641","26,056","31,325","5,463","25,862","260","59,656","10,982","15,503","4,710","10,793","33,171","","37,061","80,236","","48,297","69,000","","45,224","13,357","1,961","8,810","1,069","19,552","27,324","51,079","38,071","","41,727","","83,866","14,849","35,028","33,989"
"San Diego County, California!!Households not receiving food stamps/SNAP!!Estimate","1,045,599","406,841","638,758","","530,127","149,190","51,949","97,241","366,282","298,917","222,229","74,563","24,851","49,712","2,125","746,682","307,898","74,627","27,098","47,529","364,157","","84,088","961,511","","213,842","831,757","","618,846","44,701","10,233","121,514","2,435","78,788","169,082","253,558","574,140","","97,271","","679,317","91,032","211,856","376,429"
"San Francisco County, California!!Total!!Estimate","350,796","127,731","223,065","","131,149","39,138","11,447","27,691","180,509","67,024","48,171","18,059","4,362","13,697","794","283,772","82,978","21,079","7,085","13,994","179,715","","42,324","308,472","","76,758","274,038","","163,578","17,156","1,641","112,803","N","20,627","33,763","43,522","157,791","","121,826","","170,287","23,295","49,042","97,950"
"San Francisco County, California!!Households receiving food stamps/SNAP!!Estimate","41,527","25,348","16,179","","11,920","8,639","1,810","6,829","20,968","9,221","4,279","4,942","785","4,157","0","32,306","7,641","3,697","1,025","2,672","20,968","","18,210","23,317","","23,046","18,481","","8,111","5,235","501","19,244","N","3,854","4,496","6,760","7,633","","19,879","","20,559","5,181","8,163","7,215"
"San Francisco County, California!!Households not receiving food stamps/SNAP!!Estimate","309,269","102,383","206,886","","119,229","30,499","9,637","20,862","159,541","57,803","43,892","13,117","3,577","9,540","794","251,466","75,337","17,382","6,060","11,322","158,747","","24,114","285,155","","53,712","255,557","","155,467","11,921","1,140","93,559","N","16,773","29,267","36,762","150,158","","138,701","","149,728","18,114","40,879","90,735"
"San Joaquin County, California!!Total!!Estimate","241,760","99,708","142,052","","124,336","57,357","21,644","35,713","60,067","103,942","65,581","37,580","14,366","23,214","781","137,818","58,755","19,777","7,278","12,499","59,286","","29,516","212,244","","72,920","168,840","","98,733","17,799","2,753","38,125","1,769","37,842","44,739","86,129","90,926","","80,681","","181,693","23,394","65,759","92,540"
"San Joaquin County, California!!Households receiving food stamps/SNAP!!Estimate","39,016","12,708","26,308","","13,876","18,270","5,885","12,385","6,870","26,727","11,696","14,902","4,993","9,909","129","12,289","2,180","3,368","892","2,476","6,741","","12,303","26,713","","17,146","21,870","","8,479","4,380","649","6,729","935","9,369","8,475","18,746","6,450","","44,995","","32,146","6,052","13,615","12,479"
"San Joaquin County, California!!Households not receiving food stamps/SNAP!!Estimate","202,744","87,000","115,744","","110,460","39,087","15,759","23,328","53,197","77,215","53,885","22,678","9,373","13,305","652","125,529","56,575","16,409","6,386","10,023","52,545","","17,213","185,531","","55,774","146,970","","90,254","13,419","2,104","31,396","834","28,473","36,264","67,383","84,476","","87,695","","149,547","17,342","52,144","80,061"
"San Luis Obispo County, California!!Total!!Estimate","107,571","54,195","53,376","","53,930","14,815","5,593","9,222","38,826","26,183","17,972","7,915","2,978","4,937","296","81,388","35,958","6,900","2,615","4,285","38,530","","12,324","95,247","","33,225","74,346","","83,967","N","N","3,124","N","5,168","13,673","18,307","79,859","","80,615","","68,745","13,849","22,999","31,897"
"San Luis Obispo County, California!!Households receiving food stamps/SNAP!!Estimate","7,023","2,915","4,108","","2,099","2,312","574","1,738","2,612","3,076","1,517","1,559","400","1,159","0","3,947","582","753","174","579","2,612","","2,605","4,418","","4,103","2,920","","4,473","N","N","91","N","517","1,824","2,674","3,764","","40,905","","4,411","230","2,191","1,990"
"San Luis Obispo County, California!!Households not receiving food stamps/SNAP!!Estimate","100,548","51,280","49,268","","51,831","12,503","5,019","7,484","36,214","23,107","16,455","6,356","2,578","3,778","296","77,441","35,376","6,147","2,441","3,706","35,918","","9,719","90,829","","29,122","71,426","","79,494","N","N","3,033","N","4,651","11,849","15,633","76,095","","83,661","","64,334","13,619","20,808","29,907"
"San Mateo County, California!!Total!!Estimate","264,135","112,286","151,849","","143,006","38,322","13,269","25,053","82,807","80,589","62,915","17,338","5,193","12,145","336","183,546","80,091","20,984","8,076","12,908","82,471","","17,423","246,712","","49,081","215,054","","122,487","5,424","2,883","79,966","1,621","23,272","28,482","51,198","115,698","","131,796","","181,328","21,052","52,203","108,073"
"San Mateo County, California!!Households receiving food stamps/SNAP!!Estimate","13,856","6,302","7,554","","5,668","4,877","1,448","3,429","3,311","7,552","4,528","2,945","710","2,235","79","6,304","1,140","1,932","738","1,194","3,232","","1,998","11,858","","5,219","8,637","","2,399","423","304","3,666","134","4,415","2,515","7,024","2,204","","67,147","","10,545","980","3,139","6,426"
"San Mateo County, California!!Households not receiving food stamps/SNAP!!Estimate","250,279","105,984","144,295","","137,338","33,445","11,821","21,624","79,496","73,037","58,387","14,393","4,483","9,910","257","177,242","78,951","19,052","7,338","11,714","79,239","","15,425","234,854","","43,862","206,417","","120,088","5,001","2,579","76,300","1,487","18,857","25,967","44,174","113,494","","138,215","","170,783","20,072","49,064","101,647"
"Santa Barbara County, California!!Total!!Estimate","150,550","65,559","84,991","","70,108","27,584","9,433","18,151","52,858","46,745","29,289","16,892","5,982","10,910","564","103,805","40,819","10,692","3,451","7,241","52,294","","21,800","128,750","","40,287","110,263","","88,814","2,803","1,913","7,635","N","18,899","30,091","53,818","81,024","","84,846","","97,692","14,557","28,998","54,137"
"Santa Barbara County, California!!Households receiving food stamps/SNAP!!Estimate","18,379","6,957","11,422","","4,664","7,693","2,158","5,535","6,022","9,206","3,341","5,566","1,357","4,209","299","9,173","1,323","2,127","801","1,326","5,723","","7,657","10,722","","8,057","10,322","","6,156","317","273","1,008","N","5,835","4,790","11,811","4,922","","37,049","","12,357","1,833","5,111","5,413"
"Santa Barbara County, California!!Households not receiving food stamps/SNAP!!Estimate","132,171","58,602","73,569","","65,444","19,891","7,275","12,616","46,836","37,539","25,948","11,326","4,625","6,701","265","94,632","39,496","8,565","2,650","5,915","46,571","","14,143","118,028","","32,230","99,941","","82,658","2,486","1,640","6,627","N","13,064","25,301","42,007","76,102","","91,413","","85,335","12,724","23,887","48,724"
"Santa Clara County, California!!Total!!Estimate","650,593","246,062","404,531","","353,131","103,887","35,166","68,721","193,575","218,331","167,872","49,442","15,281","34,161","1,017","432,262","185,259","54,445","19,885","34,560","192,558","","45,586","605,007","","129,652","520,941","","245,629","16,722","5,041","250,809","2,119","51,384","78,889","123,081","231,849","","141,562","","457,018","48,659","145,651","262,708"
"Santa Clara County, California!!Households receiving food stamps/SNAP!!Estimate","39,308","20,277","19,031","","14,187","14,488","2,582","11,906","10,633","17,510","8,365","8,778","1,170","7,608","367","21,798","5,822","5,710","1,412","4,298","10,266","","11,167","28,141","","19,389","19,919","","8,230","1,824","1,168","13,028","360","7,075","7,623","15,396","7,030","","45,563","","28,675","4,763","11,388","12,524"
"Santa Clara County, California!!Households not receiving food stamps/SNAP!!Estimate","611,285","225,785","385,500","","338,944","89,399","32,584","56,815","182,942","200,821","159,507","40,664","14,111","26,553","650","410,464","179,437","48,735","18,473","30,262","182,292","","34,419","576,866","","110,263","501,022","","237,399","14,898","3,873","237,781","1,759","44,309","71,266","107,685","224,819","","149,474","","428,343","43,896","134,263","250,184"
"Santa Cruz County, California!!Total!!Estimate","97,353","47,577","49,776","","48,488","14,682","4,562","10,120","34,183","27,879","19,247","8,350","2,859","5,491","282","69,474","29,241","6,332","1,703","4,629","33,901","","8,398","88,955","","22,254","75,099","","66,140","663","1,139","5,402","N","13,085","10,924","24,230","63,419","","93,933","","63,170","9,392","17,980","35,798"
"Santa Cruz County, California!!Households receiving food stamps/SNAP!!Estimate","10,999","3,669","7,330","","3,681","3,717","1,091","2,626","3,601","6,049","3,025","3,024","865","2,159","0","4,950","656","693","226","467","3,601","","2,145","8,854","","4,190","6,809","","4,704","311","624","97","N","3,137","2,126","5,780","4,494","","52,453","","7,398","596","2,833","3,969"
"Santa Cruz County, California!!Households not receiving food stamps/SNAP!!Estimate","86,354","43,908","42,446","","44,807","10,965","3,471","7,494","30,582","21,830","16,222","5,326","1,994","3,332","282","64,524","28,585","5,639","1,477","4,162","30,300","","6,253","80,101","","18,064","68,290","","61,436","352","515","5,305","N","9,948","8,798","18,450","58,925","","104,105","","55,772","8,796","15,147","31,829"
"Shasta County, California!!Total!!Estimate","71,506","34,054","37,452","","30,969","12,111","3,426","8,685","28,426","18,427","10,485","7,382","2,035","5,347","560","53,079","20,484","4,729","1,391","3,338","27,866","","9,762","61,744","","26,420","45,086","","60,300","N","N","1,497","N","1,651","6,450","6,151","58,288","","61,125","","43,080","10,630","14,128","18,322"
"Shasta County, California!!Households receiving food stamps/SNAP!!Estimate","10,112","4,204","5,908","","2,777","3,543","843","2,700","3,792","4,083","1,382","2,636","596","2,040","65","6,029","1,395","907","247","660","3,727","","3,828","6,284","","6,546","3,566","","8,074","N","N","113","N","245","1,339","688","7,942","","25,012","","6,320","1,572","3,178","1,570"
"Shasta County, California!!Households not receiving food stamps/SNAP!!Estimate","61,394","29,850","31,544","","28,192","8,568","2,583","5,985","24,634","14,344","9,103","4,746","1,439","3,307","495","47,050","19,089","3,822","1,144","2,678","24,139","","5,934","55,460","","19,874","41,520","","52,226","N","N","1,384","N","1,406","5,111","5,463","50,346","","67,747","","36,760","9,058","10,950","16,752"
"Solano County, California!!Total!!Estimate","157,617","71,966","85,651","","77,322","32,481","10,859","21,622","47,814","51,364","33,601","17,238","5,092","12,146","525","106,253","43,721","15,243","5,767","9,476","47,289","","15,790","141,827","","45,660","111,957","","74,548","21,145","N","22,867","N","17,672","19,214","35,300","68,617","","87,770","","109,803","15,024","35,601","59,178"
"Solano County, California!!Households receiving food stamps/SNAP!!Estimate","16,157","7,141","9,016","","4,272","6,493","1,070","5,423","5,392","7,790","3,055","4,452","450","4,002","283","8,367","1,217","2,041","620","1,421","5,109","","5,717","10,440","","8,536","7,621","","5,939","3,566","N","1,643","N","2,506","2,409","4,807","5,218","","35,225","","10,765","2,303","4,809","3,653"
"Solano County, California!!Households not receiving food stamps/SNAP!!Estimate","141,460","64,825","76,635","","73,050","25,988","9,789","16,199","42,422","43,574","30,546","12,786","4,642","8,144","242","97,886","42,504","13,202","5,147","8,055","42,180","","10,073","131,387","","37,124","104,336","","68,609","17,579","N","21,224","N","15,166","16,805","30,493","63,399","","93,894","","99,038","12,721","30,792","55,525"
"Sonoma County, California!!Total!!Estimate","190,586","91,735","98,851","","94,733","27,707","9,356","18,351","68,146","51,955","36,082","15,281","4,898","10,383","592","138,631","58,651","12,426","4,458","7,968","67,554","","17,188","173,398","","46,706","143,880","","138,791","2,303","2,726","7,729","N","15,838","22,626","37,393","133,605","","94,295","","122,440","18,208","37,054","67,178"
"Sonoma County, California!!Households receiving food stamps/SNAP!!Estimate","14,397","6,771","7,626","","4,024","4,257","681","3,576","6,116","6,216","3,071","3,016","477","2,539","129","8,181","953","1,241","204","1,037","5,987","","4,824","9,573","","6,381","8,016","","8,381","490","340","574","N","2,091","2,521","4,677","7,847","","33,241","","8,281","1,608","2,987","3,686"
"Sonoma County, California!!Households not receiving food stamps/SNAP!!Estimate","176,189","84,964","91,225","","90,709","23,450","8,675","14,775","62,030","45,739","33,011","12,265","4,421","7,844","463","130,450","57,698","11,185","4,254","6,931","61,567","","12,364","163,825","","40,325","135,864","","130,410","1,813","2,386","7,155","N","13,747","20,105","32,716","125,758","","100,920","","114,159","16,600","34,067","63,492"
"Stanislaus County, California!!Total!!Estimate","174,209","67,231","106,978","","89,145","41,996","14,406","27,590","43,068","70,210","43,642","26,045","6,482","19,563","523","103,999","45,503","15,951","7,924","8,027","42,545","","22,672","151,537","","50,373","123,836","","88,566","4,834","2,667","8,390","1,151","26,396","42,205","71,210","81,226","","73,982","","131,141","16,593","46,956","67,592"
"Stanislaus County, California!!Households receiving food stamps/SNAP!!Estimate","25,615","10,153","15,462","","8,431","12,724","3,298","9,426","4,460","14,256","5,440","8,816","1,501","7,315","0","11,359","2,991","3,908","1,797","2,111","4,460","","9,646","15,969","","11,794","13,821","","10,409","880","485","1,201","502","4,880","7,258","12,444","9,287","","35,379","","21,155","4,897","9,042","7,216"
"Stanislaus County, California!!Households not receiving food stamps/SNAP!!Estimate","148,594","57,078","91,516","","80,714","29,272","11,108","18,164","38,608","55,954","38,202","17,229","4,981","12,248","523","92,640","42,512","12,043","6,127","5,916","38,085","","13,026","135,568","","38,579","110,015","","78,157","3,954","2,182","7,189","649","21,516","34,947","58,766","71,939","","80,702","","109,986","11,696","37,914","60,376"
"Sutter County, California!!Total!!Estimate","33,655","16,085","17,570","","16,252","7,920","2,974","4,946","9,483","12,931","7,333","5,485","2,134","3,351","113","20,724","8,919","2,435","840","1,595","9,370","","4,948","28,707","","12,797","20,858","","18,062","N","501","3,909","N","5,047","5,251","8,731","17,581","","64,251","","24,172","3,746","8,900","11,526"
"Sutter County, California!!Households receiving food stamps/SNAP!!Estimate","4,619","2,094","2,525","","2,010","1,904","485","1,419","705","3,238","1,610","1,628","475","1,153","0","1,381","400","276","10","266","705","","1,625","2,994","","2,785","1,834","","1,938","N","174","467","N","1,385","621","1,905","1,825","","47,909","","3,914","601","1,847","1,466"
"Sutter County, California!!Households not receiving food stamps/SNAP!!Estimate","29,036","13,991","15,045","","14,242","6,016","2,489","3,527","8,778","9,693","5,723","3,857","1,659","2,198","113","19,343","8,519","2,159","830","1,329","8,665","","3,323","25,713","","10,012","19,024","","16,124","N","327","3,442","N","3,662","4,630","6,826","15,756","","67,752","","20,258","3,145","7,053","10,060"
"Tehama County, California!!Total!!Estimate","23,950","12,605","11,345","","10,869","5,041","1,443","3,598","8,040","7,989","4,900","3,089","902","2,187","0","15,961","5,969","1,952","541","1,411","8,040","","4,745","19,205","","8,661","15,289","","18,710","N","N","N","N","N","2,677","4,981","17,697","","48,810","","N","N","N","N"
"Tehama County, California!!Households receiving food stamps/SNAP!!Estimate","2,886","1,277","1,609","","777","1,069","102","967","1,040","1,071","337","734","0","734","0","1,815","440","335","102","233","1,040","","1,056","1,830","","1,583","1,303","","2,660","N","N","N","N","N","160","261","2,479","","24,002","","N","N","N","N"
"Tehama County, California!!Households not receiving food stamps/SNAP!!Estimate","21,064","11,328","9,736","","10,092","3,972","1,341","2,631","7,000","6,918","4,563","2,355","902","1,453","0","14,146","5,529","1,617","439","1,178","7,000","","3,689","17,375","","7,078","13,986","","16,050","N","N","N","N","N","2,517","4,720","15,218","","57,500","","N","N","N","N"
"Tulare County, California!!Total!!Estimate","143,541","53,216","90,325","","71,696","40,885","13,293","27,592","30,960","65,806","37,185","28,477","9,143","19,334","144","77,735","34,511","12,408","4,150","8,258","30,816","","25,002","118,539","","40,556","102,985","","65,599","2,559","1,814","4,626","N","34,290","34,625","83,797","50,083","","58,209","","112,581","15,894","45,367","51,320"
"Tulare County, California!!Households receiving food stamps/SNAP!!Estimate","35,058","10,683","24,375","","12,576","17,321","3,775","13,546","5,161","22,695","9,520","13,175","2,756","10,419","0","12,363","3,056","4,146","1,019","3,127","5,161","","14,055","21,003","","13,923","21,135","","11,474","1,267","432","1,574","N","10,717","9,594","25,039","7,150","","34,315","","29,897","5,519","13,758","10,620"
"Tulare County, California!!Households not receiving food stamps/SNAP!!Estimate","108,483","42,533","65,950","","59,120","23,564","9,518","14,046","25,799","43,111","27,665","15,302","6,387","8,915","144","65,372","31,455","8,262","3,131","5,131","25,655","","10,947","97,536","","26,633","81,850","","54,125","1,292","1,382","3,052","N","23,573","25,031","58,758","42,933","","67,465","","82,684","10,375","31,609","40,700"
"Ventura County, California!!Total!!Estimate","279,168","132,858","146,310","","149,743","47,538","14,816","32,722","81,887","85,804","62,405","22,875","6,554","16,321","524","193,364","87,338","24,663","8,262","16,401","81,363","","22,577","256,591","","74,666","204,502","","174,789","4,273","4,679","20,500","N","22,270","52,430","89,975","154,010","","96,454","","197,281","28,397","61,122","107,762"
"Ventura County, California!!Households receiving food stamps/SNAP!!Estimate","23,271","9,824","13,447","","9,408","9,401","2,163","7,238","4,462","13,138","6,923","6,171","1,812","4,359","44","10,133","2,485","3,230","351","2,879","4,418","","5,984","17,287","","9,890","13,381","","10,257","695","1,469","818","N","3,156","6,876","13,529","6,794","","56,272","","18,809","2,448","7,835","8,526"
"Ventura County, California!!Households not receiving food stamps/SNAP!!Estimate","255,897","123,034","132,863","","140,335","38,137","12,653","25,484","77,425","72,666","55,482","16,704","4,742","11,962","480","183,231","84,853","21,433","7,911","13,522","76,945","","16,593","239,304","","64,776","191,121","","164,532","3,578","3,210","19,682","N","19,114","45,554","76,446","147,216","","100,670","","178,472","25,949","53,287","99,236"
"Yolo County, California!!Total!!Estimate","76,844","26,698","50,146","","34,526","12,600","3,808","8,792","29,718","22,958","15,546","7,083","1,580","5,503","329","53,886","18,980","5,517","2,228","3,289","29,389","","11,150","65,694","","16,928","59,916","","44,097","1,934","532","11,058","N","8,030","11,136","22,094","39,221","","78,146","","47,126","5,958","15,330","25,838"
"Yolo County, California!!Households receiving food stamps/SNAP!!Estimate","9,174","3,311","5,863","","1,884","2,509","919","1,590","4,781","2,190","889","1,301","244","1,057","0","6,984","995","1,208","675","533","4,781","","3,762","5,412","","3,383","5,791","","4,182","808","124","1,202","N","2,054","804","3,246","3,638","","33,374","","4,393","922","1,871","1,600"
"Yolo County, California!!Households not receiving food stamps/SNAP!!Estimate","67,670","23,387","44,283","","32,642","10,091","2,889","7,202","24,937","20,768","14,657","5,782","1,336","4,446","329","46,902","17,985","4,309","1,553","2,756","24,608","","7,388","60,282","","13,545","54,125","","39,915","1,126","408","9,856","N","5,976","10,332","18,848","35,583","","84,408","","42,733","5,036","13,459","24,238"
"Yuba County, California!!Total!!Estimate","27,942","11,902","16,040","","13,120","7,974","3,235","4,739","6,848","11,570","6,169","5,367","2,340","3,027","34","16,372","6,951","2,607","895","1,712","6,814","","3,872","24,070","","10,285","17,657","","17,185","N","680","1,586","N","3,370","4,136","6,984","16,257","","63,303","","21,094","3,639","8,347","9,108"
"Yuba County, California!!Households receiving food stamps/SNAP!!Estimate","6,538","1,903","4,635","","1,614","3,247","693","2,554","1,677","3,560","1,016","2,510","556","1,954","34","2,978","598","737","137","600","1,643","","1,941","4,597","","3,905","2,633","","3,786","N","351","169","N","988","1,139","1,858","3,612","","39,331","","4,861","918","3,578","365"
"Yuba County, California!!Households not receiving food stamps/SNAP!!Estimate","21,404","9,999","11,405","","11,506","4,727","2,542","2,185","5,171","8,010","5,153","2,857","1,784","1,073","0","13,394","6,353","1,870","758","1,112","5,171","","1,931","19,473","","6,380","15,024","","13,399","N","329","1,417","N","2,382","2,997","5,126","12,645","","70,645","","16,233","2,721","4,769","8,743"
